record_id,Date,Line items,Order Shipping,Payment Method,Stripe Fee,Status,Billing Country,Paid Date,Shipping City,Shipping Country,Total (EUR),Order Total (EUR),Subtotal (EUR),Free Shipping,Shipping Method,Billing Full Name
12973,2023-09-07 22:10:27,"Product: Benmosche Zinfandel Wine 0,75L X 6 = €167.22. ",23.07,Stripe Safe Card,3.1,wc-completed,HU,2023-09-07 22:10:33,Kunszállás,HU,190.29,190.29,167.22,False,Europe 1,Kristen Moss
12972,2023-09-05 17:59:13,"Product: Testament Posip Wine 0,75L X 1 = €13.14. Product: Šember Brut Pjenušac Wine 0,75L X 2 = €33.98. Product: Šoškić Pinot Noir Wine 0,75L X 6 = €73.20. ",23.07,PayPal,,wc-completed,DE,2023-09-05 17:59:17,Regensburg,DE,143.39,143.39,120.32,False,Europe 1,Micheal Adams
12971,2023-09-05 08:59:18,Product: Karbun Navy Strength Gin Aura X 1 = €48.00. ,25.47,Stripe Safe Card,2.64,wc-completed,FR,2023-09-05 08:59:25,Paris,FR,73.47,73.47,48.0,False,Europe 2,Stacey Bailey
12970,2023-09-05 08:56:44,Product: Karbun Navy Strength Gin Aura X 2 = €96.00. ,26.8,PayPal,,wc-completed,FR,2023-09-05 08:56:48,Paris,FR,122.8,122.8,96.0,False,Europe 2,Jessica Joseph
12969,2023-09-05 08:49:24,Product: Karbun Navy Strength Gin Aura X 1 = €48.00. Product: Aura Truffle Gin - Premium Gin with white Truffles X 1 = €112.81. ,26.8,Apple Pay (Stripe),6.35,wc-completed,TW,2023-09-05 08:49:30,Paris,FR,187.61,187.61,160.81,False,Europe 2,Judith Williams
12967,2023-09-03 14:50:22,"Product: Ivančić Griffin Brut Wine 0,75L X 13 = €293.28. ",0.0,PayPal,,wc-completed,DE,2023-09-03 14:50:26,Schleid,DE,293.28,293.28,293.28,True,Europe 1 (Free Shipping),Crystal Dunn
12966,2023-09-03 10:27:45,Product: Zigante Truffle Spice Black X 3 = €55.74. ,19.47,PayPal,,wc-completed,DE,2023-09-03 10:27:49,München,DE,75.21,75.21,55.74,False,Europe 1,Stephanie Vasquez
12965,2023-09-03 06:44:22,"Product: Benmosche Zinfandel Wine 0,75L X 3 = €83.61. Product: Skaramuca DINGAČ ELEGANCE X 1 = €30.53. Product: Skaramuca DINGAČ RESERVA X 1 = €19.95. Product: Matuško Dingač Wine 0,75L X 1 = €21.24. ",20.8,PayPal,,wc-completed,AT,2023-09-03 06:44:26,Bad Sankt Leonhard im Lavanttal,AT,176.13,176.13,155.33,False,Europe 1,Andre Wiggins
12964,2023-09-01 19:44:29,Product: Aura Biska Brandy - 700ml X 1 = €23.23. Product: - Volume: 700ml. ,19.47,PayPal,,wc-completed,DE,2023-09-01 19:44:34,Iggingen,DE,42.7,42.7,23.23,False,Europe 1,Adam Banks
12940,2023-08-30 21:12:17,Product: Aura Biska Brandy - 700ml X 3 = €69.69. Product: - Volume: 700ml. ,39.33,Stripe Safe Card,1.89,wc-completed,RO,2023-08-30 21:12:25,Ciresoaia,RO,109.02,109.02,69.69,False,Europe 3,Crystal Fletcher
12930,2023-08-27 17:13:48,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €24.00. Product: - Volume: 700ml. Product: Aura Orancello X 1 = €26.54. Product: Aura Biska Brandy - 700ml X 1 = €23.23. Product: - Volume: 700ml. Product: Olive Oil Belić Istarska Bjelica - 500ml X 1 = €26.00. Product: - Volume: 500ml. ,26.8,PayPal,,wc-completed,DK,2023-08-27 17:13:53,Hellerup,DK,126.57,126.57,99.77,False,Europe 2,Karen Buchanan
