record_id,Date,Line items,Order Total,Order Shipping,Total,Payment Method Title,Stripe Fee,Modified Date,Status,Password,Billing Address 2,Billing Country,Billing First Name,Billing Last Name,Paid Date,Shipping City,Shipping Country,Stripe Charge Captured,Subtotal,Order number,Order note,Shipping Method Title,Order notes,Weglot Language, Shipping Method Title
13090,2023-09-16 11:32:06,Product: Old Pilot's Gin Barrel Aged X 1 = €80.00. Product: Old Pilots Vodka X 1 = €40.48. ,147.28,26.8,147.28,Apple Pay (Stripe),2.46,2023-09-16 11:32:12,wc-processing,i(0FDTen^&,Apt. 309,NL,Jose,Young,2023-09-16 11:32:12,Nieuwersluis,NL,yes,120.48,13090,Per arrive have everything economic.,Europe 2,Already next concern ok.,en,
13088,2023-09-15 12:09:59,"Product: Šember Brut Pjenušac Wine 0,75L X 1 = €16.99. Product: Aura Teranino 12x Pack X 1 = €238.00. Product: Ante Sladić Debit Wine 0,75L X 1 = €11.55. Product: Saint Hills Nevina Wine 0,75L X 1 = €16.59. Product: Ante Sladić Maraština Wine 0,75L X 1 = €16.59. ",299.72,,299.72,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-15 12:10:05,wc-processing,Zm^26SJxL!,Apt. 384,DE,Nicholas,Jones,2023-09-15 12:10:05,Saalfele,DE,0,299.72,13088,Consider only however amount challenge office.,Europe 1 (Free Shipping),Likely recent after reality box career wish.,de,
12977,2023-09-11 17:30:48,"Product: Saint Hills Frenchie Wine 0,75L X 1 = €29.20. Product: Saint Hills Dingač Wine 0,75L X 1 = €55.08. ",84.28,,84.28,Stripe Safe Card,1.51,2023-09-11 17:30:54,wc-processing,Q769pF7h&_,Apt. 503,HR,Jessica,Schmidt,2023-09-11 17:30:54,Dugi Rat,HR,yes,84.28,12977,Thing born represent upon offer.,Croatia (Free Shipping),State it compare range position cold.,en,
12973,2023-09-07 22:10:27,"Product: Benmosche Zinfandel Wine 0,75L X 6 = €167.22. ",190.29,23.07,190.29,Stripe Safe Card,3.1,2023-09-09 20:14:42,wc-completed,g_8cIorS$Z,Apt. 841,HU,Kristen,Moss,2023-09-07 22:10:33,Kunszállás,HU,yes,167.22,12973,Where safe time alone.,Europe 1,Never action sure Democrat population senior.,en,
12972,2023-09-05 17:59:13,"Product: Testament Posip Wine 0,75L X 1 = €13.14. Product: Šember Brut Pjenušac Wine 0,75L X 2 = €33.98. Product: Šoškić Pinot Noir Wine 0,75L X 6 = €73.20. ",143.39,23.07,143.39,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-08 09:07:21,wc-completed,t(_y9Is(xh,Apt. 229,DE,Micheal,Adams,2023-09-05 17:59:17,Regensburg,DE,0,120.32,12972,Entire so list lose.,Europe 1,General care condition travel.,de,
12971,2023-09-05 08:59:18,Product: Karbun Navy Strength Gin Aura X 1 = €48.00. ,73.47,25.47,73.47,Stripe Safe Card,2.64,2023-09-07 13:29:50,wc-completed,_%W!nrU8a0,Apt. 955,FR,Stacey,Bailey,2023-09-05 08:59:25,Paris,FR,yes,48,12971,Range girl face treat lawyer.,Europe 2,Discuss share write forward arrive arrive democratic grow.,en,
12970,2023-09-05 08:56:44,Product: Karbun Navy Strength Gin Aura X 2 = €96.00. ,122.8,26.8,122.8,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-07 13:29:57,wc-completed,C7D8I#PC$o,Suite 439,FR,Jessica,Joseph,2023-09-05 08:56:48,Paris,FR,0,96,12970,Hold road exactly campaign certain.,Europe 2,Republican but always recognize sell.,en,
12969,2023-09-05 08:49:24,Product: Karbun Navy Strength Gin Aura X 1 = €48.00. Product: Aura Truffle Gin - Premium Gin with white Truffles X 1 = €112.81. ,187.61,26.8,187.61,Apple Pay (Stripe),6.35,2023-09-07 13:30:07,wc-completed,Z@$Xh1zf&3,Apt. 957,TW,Judith,Williams,2023-09-05 08:49:30,Paris,FR,yes,160.81,12969,Election door game up wear boy.,Europe 2,Perhaps sort direction rule me your guy.,en,
12967,2023-09-03 14:50:22,"Product: Ivančić Griffin Brut Wine 0,75L X 13 = €293.28. ",293.28,,293.28,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-08 09:07:27,wc-completed,@Q0UAL+zL_,Apt. 666,DE,Crystal,Dunn,2023-09-03 14:50:26,Schleid,DE,0,293.28,12967,Husband fear pay participant.,Europe 1 (Free Shipping),Husband crime walk none be support should.,de,
12966,2023-09-03 10:27:45,Product: Zigante Truffle Spice Black X 3 = €55.74. ,75.21,19.47,75.21,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-04 09:32:02,wc-completed,(h63L9!pw),Apt. 937,DE,Stephanie,Vasquez,2023-09-03 10:27:49,München,DE,0,55.74,12966,Finally little everybody amount.,Europe 1,Collection indeed carry training could prevent respond in.,en,
